line,wins,losses,ties,pct,n
-14.0,5,2,0,0.7142857142857143,7
-13.5,3,1,0,0.75,4
-13.0,2,1,0,0.6666666666666666,3
-12.5,2,2,0,0.5,4
-12.0,2,0,1,0.6666666666666666,3
-11.5,4,1,0,0.8,5
-11.0,6,3,0,0.6666666666666666,9
-10.5,7,8,0,0.4666666666666667,15
-10.0,15,4,2,0.7142857142857143,21
-9.5,9,7,0,0.5625,16
-9.0,10,8,0,0.5555555555555556,18
-8.5,7,7,0,0.5,14
-8.0,16,9,0,0.64,25
-7.5,17,12,0,0.5862068965517241,29
-7.0,43,41,7,0.4725274725274725,91
-6.5,32,34,0,0.48484848484848486,66
-6.0,23,33,0,0.4107142857142857,56
-5.5,14,19,0,0.42424242424242425,33
-5.0,18,17,0,0.5142857142857142,35
-4.5,13,28,0,0.3170731707317073,41
-4.0,30,30,3,0.47619047619047616,63
-3.5,58,59,0,0.49572649572649574,117
-3.0,137,134,22,0.46757679180887374,293
-2.5,51,60,0,0.4594594594594595,111
-2.0,20,18,1,0.5128205128205128,39
-1.5,28,27,0,0.509090909090909,55
-1.0,34,24,0,0.5862068965517241,58
-0.5,0,0,0,0.0,0
0.0,22,19,0,0.5365853658536586,41
0.5,0,0,0,0.0,0
1.0,47,42,1,0.5222222222222223,90
1.5,38,36,0,0.5135135135135135,74
2.0,46,30,1,0.5974025974025974,77
2.5,53,63,0,0.45689655172413796,116
3.0,169,196,42,0.4152334152334152,407
3.5,79,89,0,0.47023809523809523,168
4.0,62,55,2,0.5210084033613446,119
4.5,44,57,0,0.43564356435643564,101
5.0,37,31,2,0.5285714285714286,70
5.5,43,51,0,0.4574468085106383,94
6.0,59,61,6,0.46825396825396826,126
6.5,57,70,0,0.44881889763779526,127
7.0,96,98,13,0.463768115942029,207
7.5,50,44,0,0.5319148936170213,94
8.0,28,28,0,0.5,56
8.5,24,26,0,0.48,50
9.0,37,38,0,0.49333333333333335,75
9.5,36,28,0,0.5625,64
10.0,43,37,4,0.5119047619047619,84
10.5,26,26,0,0.5,52
11.0,14,18,1,0.42424242424242425,33
11.5,13,10,0,0.5652173913043478,23
12.0,5,18,0,0.21739130434782608,23
12.5,9,14,0,0.391304347826087,23
13.0,15,16,1,0.46875,32
13.5,19,20,0,0.48717948717948717,39
